Date,Short-term treasury index,US TIPS 0-5 Years,US TIPS 1-5 years,US Treasury Inflation Notes 1-10 Years,US Aggregate 10 or 10+ Years,US Aggregate,US Corporate HY,US Corporate IG,US Treasury,CHF,Gold,JPY,US treasury 1-3 Year,US Treasury 20+ Years,US Treasury 10+ Years
30-11-2017,0.000446005,-0.001624025,-0.002334654,-0.001088885,0.005288604,-0.00128454,-0.002555065,-0.001454992,-0.001375798,0.009571327,0.002079002,-0.000848427,-0.002134927,0.008008173,0.007169378
31-10-2017,0.000719537,0.001807382,0.001669579,0.00161577,0.004030633,0.000578868,0.004224909,0.004037432,-0.001210329,0.020363636,-0.049407115,0.019307431,-0.000698216,-0.000705663,-0.000757211
29-09-2017,0.000706909,-0.000900031,-0.001519636,-0.004863931,-0.009632407,-0.004760254,0.008977958,-0.00173677,-0.008571106,-0.002900653,0.056367432,0.008640862,-0.001703841,-0.022154361,-0.021597772
31-08-2017,0.001036395,0.002850506,0.003070031,0.006880641,0.022429641,0.008965473,-0.000389742,0.007765669,0.010825304,0.005102041,0.034557235,-0.02303922,0.001978815,0.035687133,0.034346905
31-07-2017,0.001162671,0.002822933,0.003150641,0.005044136,0.002633171,0.004304139,0.011075675,0.007313686,0.001667154,-0.007953724,-0.04338843,0.013550126,0.00213858,-0.006900926,-0.006180302
30-06-2017,0.000686719,-0.004331324,-0.005045392,-0.007909924,0.007528771,-0.001003292,0.001352133,0.003054907,-0.001618853,-0.018850715,0.029787234,-0.011844773,-0.000854701,0.004886117,0.003979319
31-05-2017,0.000453077,-0.000770798,-0.000886808,-0.000524363,0.020170803,0.007694645,0.008692791,0.011499815,0.006526858,-0.014187231,-0.008438819,0.019552915,0.001283697,0.020771375,0.019777041
28-04-2017,0.000616565,6.13891E-05,0.000148179,0.004456689,0.014865818,0.007718907,0.011547071,0.010684318,0.006946563,-0.000599101,0.008510638,-0.025022915,0.001441371,0.015685226,0.015431799
31-03-2017,-0.000114562,0.001476783,0.001589754,0.000689236,-0.005555248,-0.000526696,-0.002228209,-0.002324194,-0.000457349,0.0004995,0.026200873,4.33968E-05,0.000428699,-0.005942793,-0.005514625
28-02-2017,0.00046341,0.000997982,0.000834818,0.002438529,0.016871856,0.006721374,0.014552845,0.011469081,0.004934959,-0.006451613,0.038548753,-0.017066807,0.001014317,0.016081105,0.015582871
31-01-2017,0.000958246,0.004499334,0.005383369,0.007410744,0.003087349,0.001963195,0.014521598,0.003080557,0.002261349,-0.011673533,-0.002262443,-0.009707056,0.001289062,0.004036504,0.003933424
30-12-2016,0.000504551,0.003111387,0.003196554,0.001106693,0.007243354,0.001408601,0.018456131,0.006693371,-0.001055112,0.023185787,-0.096114519,0.069668858,0.000273512,-0.005553088,-0.005328433
30-11-2016,-5.78012E-05,-0.005161635,-0.006292756,-0.014660743,-0.058317263,-0.023651924,-0.004744422,-0.026827673,-0.026682833,0.008809235,0.01242236,0.0436494,-0.004124674,-0.077053741,-0.074189196
31-10-2016,0.000521308,0.0004874,0.00050055,-0.001210165,-0.028349353,-0.007648578,0.003859553,-0.008135702,-0.011006662,0.014796547,-0.043564356,0.020859799,-0.000699926,-0.04294083,-0.040789266
30-09-2016,0.000580302,0.006544186,0.007244563,0.007641655,-0.012574522,-0.000588761,0.006663692,-0.002477676,-0.001322627,0.002162496,-0.015594542,0.005393216,0.001167906,-0.01737909,-0.016096653
31-08-2016,0.000170317,-0.002632374,-0.003541175,-0.005055203,-0.000256907,-0.001141871,0.020922456,0.001958955,-0.005496947,-0.012105799,0,-0.0283393,-0.00171,-0.009439625,-0.009492833
29-07-2016,0.000217491,-0.000999315,-0.000873928,0.003205128,0.025538791,0.006322465,0.027036309,0.014610489,0.004051293,0.013924703,0.11038961,-0.011009873,-0.000582615,0.024269606,0.022426931
30-06-2016,0.001420253,0.009360789,0.011003284,0.01632855,0.049166129,0.017967769,0.009202601,0.022510688,0.022076293,-0.008387031,-0.051334702,-0.032129178,0.006017505,0.064236963,0.061385338
31-05-2016,-6.37624E-05,-0.001181181,-0.001986742,-0.005739587,0.003253896,0.000256103,0.006174955,-0.000771685,-2.73609E-05,0.014843263,0.045064378,-0.006424352,-0.001053905,0.008548162,0.007930018
29-04-2016,0.000666223,0.000319201,0.000457406,0.002630714,0.012239169,0.003841171,0.039150021,0.013691247,-0.001052286,-0.018040974,-0.008510638,-0.029927824,0.000390488,-0.005325338,-0.005004851
31-03-2016,0.000921462,0.010205554,0.011602293,0.01438519,0.028367429,0.009172118,0.04444662,0.027738136,0.00158321,-0.010987903,0.093023256,-0.014690858,0.001721103,-0.000238614,-2.796E-06
29-02-2016,0.0003991,0.002396212,0.002619597,0.008366969,0.021928962,0.007095687,0.005716386,0.008077275,0.008911844,-0.01606824,0.04368932,-0.030537328,0.001135652,0.031250961,0.029798016
29-01-2016,0.001037407,0.005451502,0.007167965,0.012860915,0.021065526,0.01375818,-0.016072789,0.00354512,0.021296701,0.013164506,0.024875622,-0.028028117,0.00610693,0.052272139,0.050240254
31-12-2015,0.00014122,-0.002159546,-0.00288034,-0.005926679,-0.007652299,-0.003230416,-0.025185857,-0.007795608,-0.001638052,-0.014557338,-0.045130641,-0.008220594,-0.000905369,8.09232E-05,-0.000166291
30-11-2015,-0.000494027,-0.001636428,-0.002024903,-0.001352837,-0.005529132,-0.00264359,-0.022225642,-0.002188319,-0.004090066,0.042427996,-0.027713626,0.021617168,-0.00247379,-0.008727599,-0.008201367
30-10-2015,-0.000142791,0.000306884,-0.000209226,0.000253721,0.003919384,0.000170417,0.027491257,0.004178273,-0.003660598,-0.003907455,0.011682243,-0.000828148,-0.0009807,-0.005218807,-0.00545762
30-09-2015,0.00073026,-0.0008279,-0.000957542,-0.002530791,0.008163511,0.006763993,-0.026024343,0.007456142,0.008776092,0.004130098,0.038834951,-0.023220421,0.003069174,0.015148324,0.01540162
31-08-2015,2.82475E-05,-0.002481441,-0.002862203,-0.005203088,-0.007742064,-0.001438072,-0.017418566,-0.005920301,0.000437116,0.014454803,-0.065759637,-0.002490453,-0.000471958,0.000145834,-0.00019377
